trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,mae,mfe,long_pnl_pct,short_pnl_pct,entry_vwap,entry_rsi,entry_atr,entry_active_entry_price,entry_stop_level,entry_take_profit_level,entry_position,exit_vwap,exit_rsi,exit_atr,exit_active_entry_price,exit_stop_level,exit_take_profit_level,exit_position
45,Long,2023-06-25 22:00:00+00:00,2023-06-26 01:00:00+00:00,1899.3,1875.26,-0.012657294792818408,-24.040000000000003,3,long_exit_signal,-0.012657294792818408,0.0,-0.012657294792818408,0.0,1901.6825711322797,52.525058788826776,12.635442765545664,1899.3,1880.3468358516814,,long,1880.2648796445349,35.95096450739631,13.244204721539283,,,,flat
46,Short,2023-06-27 03:00:00+00:00,2023-06-27 14:00:00+00:00,1871.25,1883.15,-0.006359385437541887,-11.900000000000256,11,short_exit_signal,-0.0063719633612107085,0.00227101086764403,0.0,-0.006359385437541887,1866.9189535396638,49.862696015394135,14.002219276403137,1871.25,1892.2533289146047,,short,1875.8036618390663,57.09568256708423,12.38052888721506,,,,flat
47,Long,2023-06-29 15:00:00+00:00,2023-06-30 13:00:00+00:00,1851.28,1854.41,0.0016907220949828883,3.1299999999999213,22,long_exit_signal,-0.0039054059893695037,0.02986582256600845,0.0016907220949828883,0.0,1853.883268737399,50.07982249903959,11.590769105101572,1851.28,1833.8938463423476,,long,1874.2925291511922,44.02744807133556,19.156253028122293,,,,flat
48,Short,2023-07-02 16:00:00+00:00,2023-07-02 22:00:00+00:00,1916.87,1942.31,-0.01327163553083932,-25.439999999999966,6,short_exit_signal,-0.013097806220428332,0.005402371798570282,0.0,-0.01327163553083932,1915.0646341131094,49.87750056367593,10.133035536824112,1916.87,1932.069553305236,,short,1919.993301503716,68.68542068609597,13.275130121758142,,,,flat
49,Long,2023-07-04 01:00:00+00:00,2023-07-04 19:00:00+00:00,1953.63,1933.67,-0.010216878323940581,-19.96000000000004,18,long_exit_signal,-0.010216878323940581,0.004611927540015159,-0.010216878323940581,0.0,1953.961482368258,51.04842742619823,11.230017471563349,1953.63,1936.7849737926551,,long,1952.0377648303022,32.48179452198434,10.184251184665959,,,,flat
50,Short,2023-07-07 15:00:00+00:00,2023-07-09 17:00:00+00:00,1871.27,1866.91,0.0023299684171711466,4.359999999999851,50,short_exit_signal,-0.001936103258840527,0.013738481291070581,0.0,0.0023299684171711466,1856.2131234429978,49.26341742740112,11.703239100791718,1871.27,1888.8248586511875,,short,1867.3200929148281,52.240109883449534,7.170715303952165,1866.91,1856.153927044072,,long
51,Long,2023-07-09 17:00:00+00:00,2023-07-09 22:00:00+00:00,1866.91,1865.91,-0.0005356444606328115,-1.000000000000002,5,long_exit_signal,-0.0012909031501251444,0.0006695555757909588,-0.0005356444606328115,0.0,1867.3200929148281,52.240109883449534,7.170715303952165,1866.91,1856.153927044072,,long,1866.8720412345297,50.52566083281177,7.437494063764936,1865.91,1854.7537589043527,,long
52,Long,2023-07-09 22:00:00+00:00,2023-07-10 00:00:00+00:00,1865.91,1853.42,-0.006693784802053737,-12.490000000000089,2,long_exit_signal,-0.006693784802053737,0.0,-0.006693784802053737,0.0,1866.8720412345297,50.52566083281177,7.437494063764936,1865.91,1854.7537589043527,,long,1853.6000000000001,36.34388425827562,8.125696412123864,,,,flat
53,Short,2023-07-10 03:00:00+00:00,2023-07-10 16:00:00+00:00,1860.99,1871.56,-0.005679772594156862,-10.569999999999979,13,short_exit_signal,-0.005647694971040118,0.004051837624360566,0.0,-0.005679772594156862,1856.0563019424978,47.45016779921087,8.461168009269706,1860.99,1873.6817520139045,,short,1860.5263812735952,61.49525914593562,7.960579738533953,,,,flat
54,Short,2023-07-16 12:00:00+00:00,2023-07-16 14:00:00+00:00,1930.2,1939.4,-0.0047663454564295105,-9.20000000000024,2,short_exit_signal,-0.004743735175827601,0.0005598407564071373,0.0,-0.0047663454564295105,1927.2471630437822,48.21709343858251,7.051502579821212,1930.2,1940.7772538697318,,short,1928.8075173429058,59.16439147607613,7.349713959131566,,,,flat
